date_avg,Ta (deg C) ,Tw (deg C),U2,C (tenths),Kd (watt/m^2),P  (Kpa)
335,28.78873239,2.891304348,3,0.6,87531,85.91808085
336,4.304347826,18.22222222,3,0.2,155422,87.39118783
337,21.19444444,23.78688525,7,0.4,134447,87.46978556
338,25.27868852,23.09756098,5,0.6,97891,86.98356459
339,24.65853659,23.17741935,3,0.7,99470,87.03506537
340,24.38709677,8.609756098,0,0.7,130706,87.40412871
341,9.951219512,16.60526316,6,0.7,111653,87.62100854
342,17.77631579,23.33333333,6,0.7,108203,87.33919684
343,24.77192982,33.33333333,6,0.5,105732,86.89248246
344,35.66666667,31.44444444,3,0.7,69324,86.01004333
345,32.97777778,28.78571429,3,0.6,108709,85.82531822
346,32.28571429,10.43055556,0,0.7,66818,86.44337071
347,11.58333333,9.675,5,0.5,117474,87.40911972
348,10.8375,5.84375,5,0.7,76044,87.878551
349,6.984375,-0.328947368,0,0.7,137696,88.22857875
350,0.592105263,-0.045454545,3,0.8,100850,88.25653553
351,0.863636364,-7.759259259,3,0.8,101883,87.61390432
352,-6.944444444,3.806451613,3,0.5,151348,87.19075407
353,5.322580645,23.55172414,5,0.5,81328,87.67118581
354,25.86206897,29.15625,6,0.6,94013,87.64252345
355,32.71875,9.926829268,5,0.3,142330,87.52492563
356,11.73170732,18,0,0.6,73870,87.89808244
357,19.57142857,25.78787879,10,0.7,69724,87.96223357
358,26.83333333,26.17948718,10,0.7,85454,88.35151364
359,27.24358974,32.55555556,13,0.6,109249,88.27128359
360,34.30555556,35.26666667,14,0.6,64893,87.20360833
361,38.3,27.17857143,14,0.5,110029,85.672572
362,30.28571429,28.94029851,10,0.5,119953,86.59332214
363,30.41791045,33.20289855,15,0.7,69972,86.48197761
364,34.4057971,23.0212766,15,0.7,54617,86.15701536
365,24.25531915,7.703125,15,0.2,114073,86.60523489
,8.921875,0,15,0.4,,87.05353094
